sim_time_ns,instance_id,policy,event_type,reason,npu_used_bytes,npu_kv_bytes,kv_capacity_bytes,cpu_used_bytes,cxl_used_bytes,reserve_bytes,forecast_bytes,pressure,kv_pressure,trigger,target,active_decode_requests,resident_decode_requests,request_id,request_input_tokens,request_generated_tokens,raw_bytes,stored_bytes,storage_tier,score,utility,selected_requests,deferred_requests
44910654428,0,reserve_lru,trigger,forecast_above_trigger,18799403008,2738880512,2815858769,0,0,104857600,18904260608,1.0014769432026516,1.0099008314290923,0.98,0.94,69,69,-1,0,0,0,0,,0.0,0.0,69,0
44910654428,0,reserve_lru,spill,proactive_target_headroom,18715516928,2654994432,2815858769,83886080,0,104857600,18820374528,0.997032972781502,0.9801102464311838,0.98,0.94,69,68,1,633,630,83886080,83886080,CPU,44910654428.0,0.0,0,0
44910654428,0,reserve_lru,spill,proactive_target_headroom,18629533696,2569011200,2815858769,169869312,0,104857600,18734391296,0.9924779030998239,0.9495748968083279,0.98,0.94,69,67,29,645,572,85983232,85983232,CPU,44910654428.0,0.0,0,0
44910654428,0,reserve_lru,spill,proactive_target_headroom,18591784960,2531262464,2815858769,207618048,0,104857600,18696642560,0.9904781164103066,0.9361691335592691,0.98,0.94,69,66,52,287,258,37748736,37748736,CPU,44910654428.0,0.0,0,0
45072817730,0,reserve_lru,trigger,forecast_above_trigger,18717614080,2657091584,2815858769,207618048,0,111149056,18828763136,0.997477369823617,0.9830893049309747,0.98,0.94,72,69,-1,0,0,0,0,,0.0,0.0,72,0
45072817730,0,reserve_lru,spill,proactive_target_headroom,18677768192,2617245696,2815858769,247463936,0,111149056,18788917248,0.995366483873571,0.9689387770569682,0.98,0.94,72,68,54,293,256,39845888,39845888,CPU,45072817730.0,0.0,0,0
45072817730,0,reserve_lru,spill,proactive_target_headroom,18642116608,2581594112,2815858769,283115520,0,111149056,18753265664,0.9934777964445825,0.9562777784328572,0.98,0.94,72,67,56,267,250,35651584,35651584,CPU,45072817730.0,0.0,0,0
45072817730,0,reserve_lru,spill,proactive_target_headroom,18604367872,2543845376,2815858769,320864256,0,111149056,18715516928,0.9914780097550652,0.9428720151837985,0.98,0.94,72,66,59,275,250,37748736,37748736,CPU,45072817730.0,0.0,0,0
45072817730,0,reserve_lru,spill,proactive_target_headroom,18459664384,2399141888,2815858769,465567744,0,111149056,18570813440,0.9838121607785824,0.8914832560624066,0.98,0.94,72,65,60,1090,249,144703488,144703488,CPU,45072817730.0,0.0,0,0
45072817730,0,reserve_lru,admission,value_ranked_working_set,18459664384,2399141888,2815858769,465567744,0,111149056,18570813440,0.9838121607785824,0.8914832560624066,0.98,0.94,72,65,-1,0,0,0,0,,0.0,0.0,3,4
45072817730,0,reserve_lru,reload,value_ranked_admission,18583396352,2522873856,2815858769,352321536,0,0,18583396352,0.9844787563417547,0.8959518438120928,0.98,0.94,4,0,54,293,256,39845888,39845888,CPU,0.0,0.0,0,0
45072817730,0,reserve_lru,reload,value_ranked_admission,18583396352,2522873856,2815858769,352321536,0,0,18583396352,0.9844787563417547,0.8959518438120928,0.98,0.94,4,0,56,267,250,35651584,35651584,CPU,0.0,0.0,0,0
45072817730,0,reserve_lru,reload,value_ranked_admission,18583396352,2522873856,2815858769,352321536,0,0,18583396352,0.9844787563417547,0.8959518438120928,0.98,0.94,4,0,59,275,250,37748736,37748736,CPU,0.0,0.0,0,0
45438192678,0,reserve_lru,admission,value_ranked_working_set,18539356160,2478833664,2815858769,352321536,0,119537664,18658893824,0.9884783297207893,0.9227633703102103,0.98,0.94,71,67,-1,0,0,0,0,,0.0,0.0,1,3
45438192678,0,reserve_lru,reload,value_ranked_admission,18585493504,2524971008,2815858769,314572800,0,0,18585493504,0.9845898556022835,0.8966966084370406,0.98,0.94,3,0,52,287,258,37748736,37748736,CPU,0.0,0.0,0,0
45936435565,0,reserve_lru,admission,value_ranked_working_set,18528870400,2468347904,2815858769,314572800,0,94371840,18623242240,0.9865896422918008,0.9101023716860993,0.98,0.94,68,65,-1,0,0,0,0,,0.0,0.0,1,2
45936435565,0,reserve_lru,reload,value_ranked_admission,18623242240,2562719744,2815858769,230686720,0,0,18623242240,0.9865896422918008,0.9101023716860993,0.98,0.94,2,0,1,633,630,83886080,83886080,CPU,0.0,0.0,0,0
46711770535,0,reserve_lru,admission,value_ranked_working_set,18522578944,2462056448,2815858769,230686720,0,94371840,18616950784,0.9862563445102146,0.9078680778112561,0.98,0.94,65,63,-1,0,0,0,0,,0.0,0.0,1,1
46711770535,0,reserve_lru,reload,value_ranked_admission,18610659328,2550136832,2815858769,144703488,0,0,18610659328,0.9859230467286284,0.905633783936413,0.98,0.94,1,0,29,645,572,85983232,85983232,CPU,0.0,0.0,0,0
50524253156,0,reserve_lru,trigger,forecast_above_trigger,18738585600,2678063104,2815858769,144703488,0,85983232,18824568832,0.9972551713025595,0.9815997756810793,0.98,0.94,61,60,-1,0,0,0,0,,0.0,0.0,61,0
50524253156,0,reserve_lru,spill,proactive_target_headroom,18696642560,2636120064,2815858769,186646528,0,85983232,18782625792,0.9950331860919848,0.9667044831821251,0.98,0.94,61,59,63,316,301,41943040,41943040,CPU,50524253156.0,0.0,0,0
50524253156,0,reserve_lru,spill,proactive_target_headroom,18598076416,2537553920,2815858769,285212672,0,85983232,18684059648,0.9898115208471342,0.9317005458095828,0.98,0.94,61,58,64,743,300,98566144,98566144,CPU,50524253156.0,0.0,0,0
52282830405,0,reserve_lru,admission,value_ranked_working_set,18562424832,2501902336,2815858769,285212672,0,81788928,18644213760,0.9877006348970881,0.9175500179355763,0.98,0.94,58,55,-1,0,0,0,0,,0.0,0.0,1,2
52282830405,0,reserve_lru,reload,value_ranked_admission,18612756480,2552233984,2815858769,243269632,0,0,18612756480,0.9860341459891571,0.9063785485613608,0.98,0.94,2,0,63,316,301,41943040,41943040,CPU,0.0,0.0,0,0
53824751762,0,reserve_lru,admission,value_ranked_working_set,18501607424,2441084928,2815858769,243269632,0,75497472,18577104896,0.9841454585601686,0.8937175499372497,0.98,0.94,52,50,-1,0,0,0,0,,0.0,0.0,1,1
53824751762,0,reserve_lru,reload,value_ranked_admission,18604367872,2543845376,2815858769,144703488,0,0,18604367872,0.9855897489470421,0.9033994900615699,0.98,0.94,1,0,64,743,300,98566144,98566144,CPU,0.0,0.0,0,0
56326565499,0,reserve_lru,admission,value_ranked_working_set,18470150144,2409627648,2815858769,144703488,0,69206016,18539356160,0.9821456718706513,0.880311786688191,0.98,0.94,47,46,-1,0,0,0,0,,0.0,0.0,1,0
